osm_id,name,latitude,longitude,distance_from_aeos_m,distance_from_manyata_m,within_manyata_20km,category,equipment_type,direction,survey_date,osm_last_edit,snapshot_base,review_state,working_status,source_url,snapshot_url,license
node/9959222117,,12.9308913,77.6241742,15028,12996,True,public,camera,,2022-08-17,2022-08-17T12:30:21Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/9959222117,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/11047820805,,12.9277311,77.588144,15036,13777,True,public,camera,270,2023-07-15,2023-07-28T13:53:29Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/11047820805,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/11047820905,,12.9277311,77.588144,15036,13777,True,public,camera,180,2023-07-15,2023-07-28T13:53:50Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/11047820905,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/6657098942,,12.9306053,77.6248432,15075,13031,True,public,camera,200,,2019-07-29T18:03:31Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/6657098942,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/6658473096,,12.9306056,77.6248441,15075,13031,True,public,camera,300,,2019-07-29T18:03:31Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/6658473096,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/7193001041,,12.9300206,77.6227201,15090,13088,True,public,camera,,,2020-02-07T11:50:32Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/7193001041,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/6952164898,,12.9439118,77.5264388,15118,15356,True,public,camera,240,,2019-11-06T16:34:15Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/6952164898,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/6952164899,,12.9439094,77.5264518,15118,15355,True,public,camera,150,,2019-11-06T16:34:15Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/6952164899,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/11799695191,,12.9276722,77.577996,15129,14099,True,public,camera,160,,2024-04-07T13:07:36Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/11799695191,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/9959222217,,12.9304322,77.6267949,15142,13060,True,public,camera,,2022-08-17,2022-08-17T12:30:24Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/9959222217,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/6813417752,,12.9432951,77.5265565,15172,15399,True,outdoor,camera,,,2019-09-21T04:23:11Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/6813417752,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/9959222317,,12.9306306,77.6290299,15179,13054,True,public,camera,,2022-08-17,2022-08-17T12:30:25Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/9959222317,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/9838468219,,12.927267,77.5770133,15187,14176,True,public,camera,,2022-06-22,2022-06-22T11:01:21Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/9838468219,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/6952164900,,12.9433407,77.5260369,15195,15432,True,public,camera,,,2019-11-06T16:34:15Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/6952164900,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/7276524024,,12.9276984,77.6160774,15213,13350,True,public,camera,,2026-02-24,2026-02-24T07:18:51Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/7276524024,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/11047844905,,12.9262904,77.584912,15215,14023,True,public,camera,90,2023-07-15,2023-07-28T13:49:14Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/11047844905,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/11047845005,,12.9262904,77.584912,15215,14023,True,public,camera,270,2023-07-15,2023-07-28T13:49:47Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/11047845005,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/11047845105,,12.9262904,77.584912,15215,14023,True,public,camera,,2023-07-15,2023-07-28T13:48:42Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/11047845105,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/12491736749,,12.9263797,77.5835981,15215,14053,True,public,camera,,,2025-01-11T04:38:52Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/12491736749,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/12491736745,,12.9264543,77.5817257,15223,14103,True,public,camera,3,,2025-01-11T04:38:52Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/12491736745,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/12491736747,,12.9264402,77.5817357,15224,14104,True,public,camera,98,,2025-01-11T04:38:52Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/12491736747,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/12491736746,,12.9264344,77.5817298,15225,14105,True,public,camera,176,,2025-01-11T04:38:52Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/12491736746,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10882966707,,12.9300574,77.6292699,15247,13120,True,public,camera,,2023-05-10,2023-05-10T09:05:56Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10882966707,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
